idx,sentence,P,R,F1,status
0,मुरगाव पालिकेच्या 239 लाखांच्या शिलकी अर्थसंकल्पाक मान्यताय,0.25,0.36,0.29,OK
1,डिझेलाच्या दरांत प्रति लिटर 80 पयशांनी वाड जाल्या,0.08,0.15,0.11,OK
2,पुराय देशभरांत हे दर वाडयल्यात,0.12,0.2,0.15,OK
3,राजकी परिस्थिती खिणाखिणाक बदलत आसा,0.29,0.5,0.36,OK
4,वाडटे म्हारगाये आड काग्रेसीचें आंदोलन,0.36,0.36,0.36,OK
5,नवी दिल्लीः सध्या देशांतली वाडटी म्हारगाय आनी इंधनाच्या वाडट्या दरांक लागून सर्वसामान्यांक व्हड फटको बसला,,,,SKIP
6,वाड्या म्हारगायेच्या मुद्या वयल्यान काँग्रेस बरीच आक्रमक जाल्या,0.15,0.27,0.2,OK
7,"सध्या सीएनजी, पीएनजी गॅस तशेच खाद्यतेलाचे दर वाडल्यात",0.24,0.36,0.29,OK
8,एक एप्रीलाच्यान वखदांचेय दर वाडटले,0.09,0.08,0.09,OK
9,वाडट्या म्हारगायेचो सर्वसामान्यांचे व्हड परिणाम जाल्ल्याचे दिसून येता,0.07,0.17,0.1,OK
10,ह्या खासदारांच्या निवृत्तीन आमकां अणभवी साथीदारांचो उणाव जाणवतलो,,,,SKIP
11,"आयच्यान खर अंमलबजावणी, धा पटीन चड आसतलो दंड",0.06,0.07,0.06,OK
12,ते प्रमाण बिरेस्तारा मध्यान रातीं 12 वरां पसून नेम लागू जाल्यात,0.06,0.23,0.1,OK
13,हे विशीं नियाळ बसका घेतिल्ल्याचे राजन सातार्डकार हांणी सांगलें,0.1,0.25,0.14,OK
14,केंद्र सरकाराच्या आदेशा प्रमाण गोंयांत येरादारी नेमांची अंमलबजावणी करचीच पडटली,0.13,0.37,0.2,OK
15,गोंयांतल्या भोवतेक रस्त्यांची कामां जाल्यात,0.22,0.15,0.18,OK
16,"अर्थसंकल्पांत ते विशींची तजवीज केल्या, अशें तांणी म्हणलें",,,,SKIP
17,राज्यांनी बेगोबेग सुदारीत कायद्याची अंमलबजावणी केल्या,0.12,0.2,0.15,OK
18,आदले भाजप सरकारांतले येरादारी मंत्री मॉवीन गुदिन्हो हांणी सुदारीत कायदो लागू करपाचो यत्न केल्लो,0.2,0.32,0.24,OK
19,हजार चौखण मिटर मेरेन वाडयल्या,0.11,0.22,0.15,OK
20,मुख्य सचीव पुनीत गोयल हांणी हे विशींचो आदेश जारी केलो,0.21,0.38,0.27,OK
21,"ताका लागून मंत्रीपद मेळ्ळे उपरांत हे खातें मेळचें, अशें दरेकल्याक दिसता",0.14,0.19,0.16,OK
22,भोवतेक खेपे खात्याचे मंत्री अशा प्रकरणांत हस्तक्षेप करून नागरिकां,0.14,0.29,0.19,OK
23,समितीचे मान्यताये उपरांत हे प्रस्ताव मंजुरी खातीर खात्याच्या मंत्र्या कडेन वताले,0.14,0.24,0.18,OK
24,"मजगतीं, मंत्रीमंडळ स्थापन जावन चार दीस जाले तरी अजुनूय खातें वांटप जावंक ना",0.07,0.14,0.1,OK
25,कामत हांची काँग्रेस कार्यकारी समितीचे कायम निमंत्रक म्हूण नेमणूक केल्या,0.19,0.39,0.26,OK
26,कार्लुस फेरेरा हांची विधानसभेंतले मुख्य व्हीप म्हूण नेमणूक केल्या,,,,SKIP
27,रातीं उसरां दोनूय भुरग्यांच्या कुडीचेर थळाव्या मसुंडेंत निमाणे संस्कार जाले,0.05,0.12,0.07,OK
28,हांणी सादर केल्ल्या अर्थसंकल्पांत निम्मे परस चड निधीची तजवीज पांच खात्यां खातीर आसा,0.06,0.18,0.08,OK
29,कसलीच शुल्कवाड करिनासतना शिलकी अर्थसंकल्प तांणी सादर,0.12,0.36,0.19,OK
30,सरकारी शाळांची सुदारणा आनी दुरूस्ती खातीर 50 कोटींची तजवीज आसा,0.14,0.22,0.17,OK
31,ऑनलायन अभ्यासक्रम सुरू करपा खातीर 5 कोटींची तजवीज केल्या,0.13,0.15,0.14,OK
32,राज्य संशोधन फावंडेशन स्थापन करपा खातीर 650 कोटी रुपया तजवीज केल्या,0.23,0.44,0.3,OK
33,"ते भायर डिजीटल टेक्नॉलॉजी केंद्रा , फार्मसी आनी वास्तुविशारद म्हाविद्यालय इमारती खातीर निधीची तजवीज आसा",,,,SKIP
34,35 खात्यांतल्यान 5 खात्यां खातीर  निम्मे परस चड तजवीज आसा,,,,SKIP
35,बांदकाम खात्या खातीर 299 कोटींची तजवीज भौशीक बांदकाम खात्या खातीर,0.2,0.29,0.24,OK
36,वीज खात्या खातीर लेगीत चड निधीची तजवीज केल्या,0.03,0.08,0.04,OK
37,गृह तर्शेच पुलीस : खात्या खातीर 118 कोटींची अर्थसंकल्पी तजवीज आसा,0.09,0.21,0.12,OK
38,"नवे प्रस्ताव, येवजण्यो वा उपक्रमांचो मात | अर्थसंकल्पात उल्लेख ना",,,,SKIP
39,बिरेस्तारा दनपारां 2 वराच्या सुमाराक दीपक नायक जेवपाक घरा आयलो,,,,SKIP
40,तेन्ना दोनूय भुरगीं घरांत नाशिल्ल्यान तांणी आपल्या भावाक फोन करून भुरग्यांची चवकशी केली,,,,SKIP
41,पूण थंय दोतोरांनी तपासणी उपरांत दोगांय भुरग्यांक मरण आयिल्ल्याचे सांगले,0.11,0.19,0.14,OK
42,रातीं उसरां दोनूय भुरग्यांच्या कुडींचेर थळावे मसुंडेत निमाणे संस्कार जाले,,,,SKIP
43,मात दूदाच्या दरांत प्रति लिटर 2 ते 3 रुपया वाड जावपाची शक्यताय आसा,0.1,0.22,0.13,OK
44,दूद उत्पादकांक प्रति लिटर 2 रुपयांची वाड दिवपाचो निर्णय बसकेंत घेतला,0.1,0.24,0.14,OK
45,दूद विक्रीची वाड निश्चीत करूंक ना,,,,SKIP
46,तशेंच गोवा डेरीची वसुंकों साबार बसका 27 एप्रीलाक कुर्टीतल्या सहकार भवन सभाघरांत घेवपाचो निर्णय बसकेंत घेतलो,0.09,0.29,0.14,OK
47,म्हापशें: म्हापशें न्हंये वयल्या नव्या तार पुलाचें बांदकाम नेटान चालू आसा,,,,SKIP
48,"आमदार डिसोझान सांगलें, ह्या पुलाचें बांदकाम सध्या खूब गतीन चालू आसा",0.08,0.23,0.12,OK
49,निमणे मुजती आदीं तो पुराय जातलो असो अदमास आसा,0.06,0.25,0.1,OK
50,पदाचो गैरवापर करून घरच्यांक फायदो केल्ल्याचो आरोप,0.06,0.14,0.08,OK
51,पदाच्या लावाचो फायदो घेतिल्ल्या प्रकरणांत एकादो पंच अपात्र जावपाची ही गोंयांतली पयलीच घडणूक,0.11,0.24,0.15,OK
52,खाला ही अपात्रतायेची कारवाय केल्या,0.11,0.12,0.12,OK
53,ह्या प्रस्तावाक अनुमोदन लेगीत तिणेंच दिलें आनी पंचायत मंडळान थाराव पारीत केलो,0.09,0.2,0.12,OK
54,सावयकाराक पंच वांगडी म्हूण कामकाज हाताळपाक मनाय केल्या,0.04,0.11,0.06,OK
55,नाटकाचें दिग्दर्शन कमलाकर परबान केलां,0.2,0.45,0.28,OK
56,दुबावीत सिद्धीकीचेर जमीन घोटाळाचे खूबशे गुन्यांव आसात,0.14,0.35,0.2,OK
57,ह्या प्रकरणांतूय लोकांची फटवणूक जाल्ल्याची शक्यताय पुलिसांनी उक्तायल्या,0.09,0.06,0.07,OK
58,सिद्धीकी उर्फ सुलेमान खान हाचे आड म्हापशें पुलिसांनी लुकआवट नोटीस जारी केल्या,0.19,0.32,0.24,OK
59,हो प्रकार कळटाच तेन्नाचो उपनिबंधक आर्जुन शेट्ये हाणें अज्ञात आड म्हापशें पुलिसेंत कागाळ दाखल केल्ली,0.17,0.3,0.22,OK
60,"हो पूल उक्तो जाले उपरांत थंय आदीं जावपी येरादारेची कोंयडी जावची ना, अशें आमदार डिसोझान सांगलें",,,,SKIP
61,प्रमोद सावंत हाणें विधानसबेत राज्याचो अर्थसंकल्प सादर केलो,0.21,0.4,0.28,OK
62,ताका लागून थंय इल्ली इल्ली कोयराची रास वाडटा,,,,SKIP
63,हाका लागून हो पुराय वाठार बुरसो दिसता,0.09,0.17,0.12,OK
64,"कोयर उडोवप्यांचेर पंचायतीन खर कारवाय करची, अशी थळाव्या लोकांचें म्हणणें आसा",0.14,0.35,0.2,OK
65,"बसोवचे, अशीय तांची मागणी आसा",0.1,0.2,0.13,OK
66,इंद्रदेव शुक्ला सेवा निवृत्त पुलीस अधिक्षक सेराफीन डायस हाचे सयत 12 कर्मचारी निवृत्त,0.26,0.43,0.33,OK
67,ताची गोंय पुलीस सेवेंत थेट उपअधिक्षक पदाचेर बदली जाल्ली,0.19,0.3,0.23,OK
68,त्या वेळार ताचे कडेन पुलीस प्रशिक्षण केंद्राचो प्राचार्य म्हूण पयलीं नेमणूक केली,0.14,0.26,0.19,OK
