sentence,amr_penman
एके तिरपे नळकांडयेचेर एक वयलो आनी पोंदचो पृश्टभाग एकमेकांपसून पयस केल्ले आसतात.,"(s / separate-01
   :location (c / cylinder
                 :mod (o / oblique))
   :ARG1 (a / and
            :op1 (s2 / surface
                     :mod (t / top)
                     :part-of c)
            :op2 (s3 / surface
                     :mod (b / bottom)
                     :part-of c)))"
भोंसले हो 2020 वर्साचो भारतीय हिंदी भाशेचो चित्रपट देवशीष माखीजान बरोवन दिग्दर्शीत केला आनी पियूष सिंगान ताची सह-निर्मिती केल्या.,"(f / film :name (n / name :op1 ""Bhonsle"") :time (d / date-entity :year 2020) :mod (c / country :name (n2 / name :op1 ""India"")) :medium (l / language :name (n3 / name :op1 ""Hindi"")) :ARG1-of (w / write-01 :ARG0 (p / person :name (n4 / name :op1 ""Devashish"" :op2 ""Makhija""))) :ARG1-of (d2 / direct-01 :ARG0 p) :ARG1-of (p3 / produce-01 :ARG0 (p2 / person :name (n5 / name :op1 ""Piyush"" :op2 ""Singh"")) :mod (c2 / co-)))"
"तो मागीर ताचेवेल्यान, शिक्को कसो, कागद आनी शाय हालोवंक शकतालो.","(p / possible-01
   :ARG1 (m / move-01
            :ARG0 (h / he)
            :ARG1 (a / and
                     :op1 (p2 / paper)
                     :op2 (i / ink))
            :path (i2 / it)
            :time (t / then)
            :manner (r / resemble-01
                       :ARG1 (s / stamp))))"
"जिल्लो राजधानींनी इंटरनॅट कॅफेंची बरी मांडणी जाल्या, पूण ब्रॉडबँड जोडणी सगळे कडेन मेळना.",(c / contrast-01 :op1 (a / arrange-01 :ARG1 (n / network-01 :part (c2 / cafe :mod (i / internet)) :mod (g / good-02)) :location (c3 / capital-01 :part-of (d / district))) :op2 (a2 / available-01 :polarity - :ARG1 (c4 / connection :mod (b / broadband)) :location (p / place :quant all)))
आपल्याक जाय तशे आपूण दवरूंक शकतां ते वेगवेगळे भाग खेळगडो वापरता.,(u / use-01 :ARG0 (k / player) :ARG1 (b / part :mod (d / different) :ARG1-of (p / possible-01 :ARG1 (a / arrange-01 :ARG0 k :manner (w / want-01 :ARG0 k)))))
"बौधायनांत कलिंगाचेर वेदीक परंपरेचो अजून प्रभाव पडूंक नाशिल्ल्याचो उल्लेख केला, ताचो अर्थ तो चडसो आदिवासी परंपरा पाळटालो.","(a / and :op1 (m / mention-01 :ARG0 (b / book :name (n / name :op1 ""Baudhayana Sutras"") :wiki ""Baudhayana_Sutras"") :ARG1 (i / influence-01 :polarity - :ARG0 (t / tradition :mod (v / vedic)) :ARG1 (k / country :name (n2 / name :op1 ""Kalinga"") :wiki ""Kalinga"") :time (s / still))) :op2 (m2 / mean-01 :ARG0 i :ARG1 (f / follow-02 :ARG0 k :ARG1 (t2 / tradition :mod (a2 / tribe)) :degree (m3 / most))))"
बुधवारा श्री देवी सातिरीच्या कलशाचें दिंडी सयत श्री देवी सांतेरी मंदिरा कडेन प्रयाण जालें,"(p / proceed-01 :ARG0 (d2 / dindi) :ARG1 (k / kalash :poss (d / deity :name (n / name :op1 ""Shri"" :op2 ""Devi"" :op3 ""Satiri""))) :destination (t / temple :name (n2 / name :op1 ""Shri"" :op2 ""Devi"" :op3 ""Santeri"")) :time (w / wednesday))"
पावसाळ्यांत उटंगारांचो पावस पडल्यार जमीन कोसळपाचो धोको वाडटा.,"(i / increase-01
   :ARG1 (r / risk-01
            :ARG1 (c / collapse-01
                     :ARG1 (l / land)))
   :condition (r2 / rain-01
                  :manner (h / heavy)
                  :time (s / season
                           :name (n / name :op1 ""monsoon""))))"
ए.टी.पी. चेन्नई ओपन सर्त दर जानेवारीक चेन्नईंत जाता.,"(o / occur-01 :ARG1 (t / tournament :name (n / name :op1 ""ATP"" :op2 ""Chennai"" :op3 ""Open"")) :location (c / city :wiki ""Chennai"" :name (n2 / name :op1 ""Chennai"")) :time (m / month :name (n3 / name :op1 ""January"")) :frequency (y / year))"
"वादळाक लागून ओक्लाहोमांत स जाणांक, टेक्सासांत आठ जाणांक आनी मिसौरींत एका मनशाक मरण आयलें.","(d / die-01 :ARG1 (a / and :op1 (p / person :quant 6 :location (s / state :name (n / name :op1 ""Oklahoma""))) :op2 (p2 / person :quant 8 :location (s2 / state :name (n2 / name :op1 ""Texas""))) :op3 (p3 / person :quant 1 :location (s3 / state :name (n3 / name :op1 ""Missouri"")))) :cause (s4 / storm))"
